Days,Mag,error
2452072.60813,15.651,0.008
2452072.61948,15.645999999999999,0.008
2452072.6280799997,15.642999999999999,0.008
2452072.63669,15.65,0.008
2452072.6521400004,15.658,0.008
2452072.66075,15.654000000000002,0.008
2452072.6694,15.651,0.008
2452072.67807,15.65,0.008
2452072.6867,15.645,0.008
2452072.69536,15.655999999999999,0.008
2452072.70463,15.649000000000001,0.008
2452072.72545,15.652000000000001,0.008
2452072.73409,15.649000000000001,0.008
2452072.7427,15.645,0.008
2452072.7513099997,15.65,0.008
2452072.75992,15.648,0.008
2452072.76854,15.651,0.008
2452072.77757,15.652999999999999,0.008
2452072.7861900004,15.647,0.008
2452072.79478,15.652000000000001,0.008
2452072.8034099997,15.651,0.008
2452072.81204,15.663,0.008
2452072.82065,15.664000000000001,0.008
2452072.83019,15.66,0.008
2452072.8390900004,15.662,0.008
2452072.8481799997,15.649000000000001,0.008
2452072.8590599997,15.649000000000001,0.008
2452072.8676400003,15.652999999999999,0.008
2452072.87625,15.655,0.008
2452072.89043,15.644,0.01
2452072.89901,15.652999999999999,0.01
2452072.90758,15.654000000000002,0.008
2452073.57944,15.65,0.008
2452073.5948099997,15.654000000000002,0.008
2452073.60345,15.635,0.008
2452073.61203,15.652000000000001,0.006999999999999999
2452073.62065,15.637,0.006999999999999999
2452073.62927,15.645,0.008
2452073.63788,15.636,0.006999999999999999
2452073.6466599996,15.65,0.006999999999999999
2452073.65531,15.668,0.006999999999999999
2452073.66392,15.659,0.006999999999999999
2452073.67476,15.66,0.006999999999999999
2452073.68338,15.652000000000001,0.006999999999999999
2452073.69205,15.651,0.008
2452073.70065,15.648,0.006999999999999999
2452073.70929,15.64,0.006999999999999999
2452073.71793,15.645,0.006999999999999999
2452073.72741,15.652999999999999,0.006999999999999999
2452073.73599,15.645999999999999,0.008
2452073.74457,15.654000000000002,0.006999999999999999
2452073.75315,15.65,0.006999999999999999
2452073.7617599997,15.644,0.006999999999999999
2452073.77035,15.65,0.006999999999999999
2452073.78361,15.654000000000002,0.006999999999999999
2452073.82208,15.645999999999999,0.008
2452073.8310599998,15.663,0.01
2452073.84627,15.665999999999999,0.008
2452073.85487,15.662,0.006999999999999999
2452073.86348,15.654000000000002,0.008
2452073.87206,15.655,0.008
2452073.88066,15.652000000000001,0.008
2452073.89417,15.667,0.008
2452073.9027299997,15.677999999999999,0.008
2452073.91133,15.673,0.008
2452074.5734099997,15.635,0.008
2452074.5820400002,15.645999999999999,0.008
2452074.5906700003,15.651,0.008
2452074.5992900003,15.655999999999999,0.008
2452074.6079,15.633,0.008
2452074.61656,15.655999999999999,0.008
2452074.62566,15.651,0.008
2452074.6342700003,15.652000000000001,0.008
2452074.6428900003,15.648,0.01
2452074.65149,15.654000000000002,0.008
2452074.66011,15.647,0.008
2452074.6776,15.66,0.008
2452074.69996,15.648,0.008
2452074.70863,15.652000000000001,0.008
2452074.71724,15.645,0.008
2452074.72848,15.642000000000001,0.006999999999999999
2452074.7370700003,15.645999999999999,0.008
2452074.76083,15.652999999999999,0.008
2452074.76943,15.655999999999999,0.008
2452074.78664,15.642000000000001,0.008
2452074.7965,15.645,0.008
2452074.8051,15.652999999999999,0.008
2452074.8139400003,15.647,0.008
2452074.82256,15.644,0.008
2452074.83117,15.64,0.006999999999999999
2452074.83978,15.642000000000001,0.008
2452074.8484,15.645,0.006999999999999999
2452074.8569900002,15.652000000000001,0.006999999999999999
2452074.86605,15.658,0.006999999999999999
2452074.8746,15.665,0.008
2452074.88319,15.66,0.008
2452074.89183,15.652999999999999,0.008
2452074.9004599997,15.652999999999999,0.008
2452074.90905,15.647,0.008
2452075.6082,15.652000000000001,0.008
2452075.6168,15.668,0.008
2452075.62539,15.659,0.008
2452075.63403,15.645,0.008
2452075.64264,15.657,0.008
2452075.67087,15.66,0.01
2452075.67947,15.642999999999999,0.008
2452075.68807,15.655,0.008
2452075.69674,15.652999999999999,0.008
2452075.7053400003,15.64,0.008
2452075.7143599996,15.652000000000001,0.008
2452075.7236,15.665,0.008
2452075.7322,15.645999999999999,0.008
2452075.7408,15.65,0.008
2452075.7676,15.655,0.008
2452075.77619,15.659,0.01
2452075.7847700003,15.652999999999999,0.008
2452075.79365,15.645,0.008
2452075.80226,15.652999999999999,0.008
2452075.8108599996,15.664000000000001,0.008
2452075.81946,15.652999999999999,0.008
2452075.82805,15.649000000000001,0.008
2452075.8407,15.652000000000001,0.008
2452075.8492900003,15.658,0.008
2452075.8579,15.654000000000002,0.008
2452075.8665,15.655999999999999,0.008
2452075.8751,15.664000000000001,0.01
2452075.88364,15.655999999999999,0.01
2452075.89256,15.665999999999999,0.01
2452076.68671,15.664000000000001,0.008
2452076.69532,15.657,0.008
2452076.70396,15.655999999999999,0.008
2452076.71257,15.652000000000001,0.01
2452076.72734,15.664000000000001,0.01
2452076.73613,15.668,0.008
2452076.74494,15.642000000000001,0.01
2452076.75368,15.654000000000002,0.01
2452076.76245,15.655,0.008
2452076.77125,15.645,0.008
2452076.78711,15.673,0.008
2452076.79852,15.662,0.008
2452076.8112,15.66,0.01
2452076.8237,15.668,0.01
2452076.83245,15.663,0.008
2452076.84118,15.659,0.008
2452076.84991,15.665999999999999,0.01
2452076.85866,15.66,0.008
2452076.86741,15.665999999999999,0.01
2452076.87671,15.658,0.008
2452076.88543,15.669,0.008
2452077.58337,15.661,0.01
2452077.60399,15.663,0.01
2452077.61467,15.652999999999999,0.008
2452077.6255900003,15.652999999999999,0.008
2452077.6343400003,15.647,0.008
2452077.64726,15.658,0.006999999999999999
2452077.65601,15.658,0.006999999999999999
2452077.66475,15.652000000000001,0.006999999999999999
2452077.6735,15.648,0.006999999999999999
2452077.68568,15.658,0.006999999999999999
2452077.69444,15.647,0.006999999999999999
2452077.70322,15.652999999999999,0.006999999999999999
2452077.71199,15.655999999999999,0.008
2452077.72072,15.645,0.008
2452077.72947,15.663,0.008
2452077.73923,15.655999999999999,0.008
2452077.7480200003,15.659,0.008
2452077.7568099997,15.654000000000002,0.008
2452077.76558,15.652000000000001,0.008
2452077.77432,15.659,0.008
2452077.78643,15.65,0.008
2452077.79519,15.664000000000001,0.008
2452077.8039,15.657,0.008
2452077.81269,15.655,0.006999999999999999
2452077.82145,15.651,0.008
2452077.8302,15.645999999999999,0.008
2452077.8393200003,15.661,0.01
2452077.84805,15.652999999999999,0.008
2452077.85681,15.665999999999999,0.01
2452077.86557,15.659,0.008
2452077.87425,15.664000000000001,0.008
2452077.8829900003,15.661,0.01
2452077.89198,15.66,0.008
2452077.9007099997,15.675,0.01
2452078.58929,15.661,0.008
2452078.598,15.665,0.008
2452078.60677,15.665,0.008
2452078.61552,15.652000000000001,0.008
2452078.62429,15.667,0.008
2452078.63305,15.655,0.008
2452078.65343,15.655,0.006999999999999999
2452078.66218,15.663,0.006999999999999999
2452078.67094,15.655,0.006999999999999999
2452078.67968,15.671,0.008
2452078.68846,15.669,0.008
2452078.69721,15.655,0.008
2452078.70686,15.657,0.008
2452078.71577,15.682,0.008
2452078.72452,15.682,0.006999999999999999
2452078.73325,15.693,0.008
2452078.742,15.699000000000002,0.008
2452078.75075,15.699000000000002,0.008
2452078.76379,15.709000000000001,0.008
2452078.78265,15.707,0.008
2452078.79142,15.687999999999999,0.008
2452078.80018,15.674000000000001,0.008
2452078.8089099997,15.672,0.008
2452078.8349599997,15.668,0.008
2452078.84375,15.671,0.01
2452078.85248,15.665,0.008
2452078.86202,15.673,0.01
2452078.87072,15.679,0.01
2452078.87947,15.675999999999998,0.01
2452078.88825,15.664000000000001,0.011000000000000001
2452079.6193,15.66,0.008
2452079.62802,15.654000000000002,0.008
2452079.6368299997,15.663,0.008
2452079.64558,15.657,0.008
2452079.6543099997,15.654000000000002,0.008
2452079.66308,15.648,0.008
2452079.67289,15.644,0.008
2452079.68164,15.65,0.008
2452079.6904,15.63,0.008
2452079.69911,15.66,0.008
2452079.7078299997,15.659,0.008
2452079.71661,15.659,0.008
2452079.7307,15.652999999999999,0.008
2452079.73949,15.66,0.008
2452079.74824,15.652000000000001,0.008
2452079.75696,15.654000000000002,0.008
2452079.7657,15.647,0.008
2452079.7744299998,15.66,0.008
2452079.79311,15.652999999999999,0.008
2452079.80185,15.661,0.008
2452079.81061,15.663,0.008
2452079.82108,15.655,0.01
2452080.55266,15.648,0.006999999999999999
2452080.5671099997,15.654000000000002,0.006999999999999999
2452080.57583,15.642999999999999,0.006999999999999999
2452080.58455,15.644,0.006999999999999999
2452080.59328,15.648,0.006999999999999999
