a0 a1 b0 b1 f id
0.02955836 -0.01632680 -0.10456023 0.01612703 3.92735688 OGLE-GD-ECL-00001
0.06109880 -0.05590554 -0.03806936 -0.00566723 1.86756155 OGLE-GD-ECL-00002
-0.01482698 0.00320778 0.08264305 0.01981702 0.35897420 OGLE-GD-ECL-00003
0.16700682 0.00971262 0.02374499 -0.01872745 6.30685284 OGLE-GD-ECL-00004
0.05910843 -0.01553750 -0.09650697 0.00325053 4.63703716 OGLE-GD-ECL-00005
-0.13709277 0.08946089 -0.26722094 0.05336160 6.40262523 OGLE-GD-ECL-00006
0.07206112 0.01752770 0.12159623 0.01250914 7.32279805 OGLE-GD-ECL-00007
0.24902920 -0.02211711 -0.05539371 -0.05601808 5.87794413 OGLE-GD-ECL-00008
0.17188622 -0.08675668 -0.19656554 0.01984197 6.68443031 OGLE-GD-ECL-00009
0.10373107 -0.03368707 -0.01995216 -0.07778593 3.16117778 OGLE-GD-ECL-00010
0.01159447 0.00957199 0.03550464 0.01242232 1.84034565 OGLE-GD-ECL-00011
0.00088673 0.00055856 0.21737175 0.07582293 6.29789571 OGLE-GD-ECL-00012
0.03129787 -0.01456185 -0.20902020 0.06060270 4.68802390 OGLE-GD-ECL-00013
0.06522368 -0.03255303 -0.03862563 -0.02086074 1.97435809 OGLE-GD-ECL-00014
-0.01827570 0.00054140 -0.00209557 -0.01547835 0.89836215 OGLE-GD-ECL-00015
-0.00156776 0.00054529 -0.05576845 0.02374084 2.21585609 OGLE-GD-ECL-00016
0.00830433 0.00896250 0.06518730 0.04423100 2.13076336 OGLE-GD-ECL-00017
0.05657435 0.00147252 -0.01422768 -0.00204586 7.06235228 OGLE-GD-ECL-00018
-0.00041123 -0.00318641 0.14283010 0.04437606 6.06363232 OGLE-GD-ECL-00019
-0.00474143 0.00579047 -0.22364604 0.06564384 7.08853466 OGLE-GD-ECL-00020
0.06308064 0.01894185 0.03421996 -0.01122661 8.34528886 OGLE-GD-ECL-00021
0.09833608 0.00385088 0.00649683 -0.07730771 1.71942440 OGLE-GD-ECL-00022
-0.10316642 0.05080679 -0.20146636 0.03250260 6.37644285 OGLE-GD-ECL-00023
-0.00151159 0.00165341 0.01975309 0.00600210 1.03385947 OGLE-GD-ECL-00024
-0.06563203 0.03807554 -0.25049229 0.07237027 6.11014049 OGLE-GD-ECL-00025
0.07164705 -0.02387240 -0.15139554 0.03067456 6.62724248 OGLE-GD-ECL-00026
-0.10462453 0.04103009 -0.17132238 0.02035050 5.90516002 OGLE-GD-ECL-00027
-0.16855142 0.08921812 -0.10238342 -0.08094582 1.36045020 OGLE-GD-ECL-00028
0.05096488 -0.01192627 -0.09301305 0.00647672 6.27515838 OGLE-GD-ECL-00029
0.16210478 -0.03565073 -0.10821392 -0.03177760 7.09818080 OGLE-GD-ECL-00030
-0.06663428 0.02074159 -0.10749590 0.00599092 7.19843175 OGLE-GD-ECL-00031
-0.04590798 -0.04311110 0.04434639 -0.00176146 1.62571904 OGLE-GD-ECL-00032
-0.02010828 -0.03030015 0.08667040 0.06022874 0.27939355 OGLE-GD-ECL-00033
0.21055489 0.00816682 0.00761149 -0.06088378 6.93281841 OGLE-GD-ECL-00034
0.02137459 0.03334076 0.04635718 0.02416578 1.82036436 OGLE-GD-ECL-00035
0.12888500 -0.01681080 -0.04029098 -0.02503205 5.07903706 OGLE-GD-ECL-00036
-0.00399605 0.00369879 0.19212199 0.04921335 5.40356076 OGLE-GD-ECL-00037
0.02762642 -0.00032709 -0.00175788 -0.00255974 6.21590352 OGLE-GD-ECL-00038
-0.17070077 -0.09729778 0.23905498 0.02726344 8.09483373 OGLE-GD-ECL-00039
-0.02001141 0.00589373 -0.02718926 0.00386097 2.71952239 OGLE-GD-ECL-00040
0.03268366 -0.01170549 -0.17796172 0.03624526 5.69845703 OGLE-GD-ECL-00041
0.17388876 -0.03452129 -0.07301756 -0.03754536 3.42679113 OGLE-GD-ECL-00042
-0.00249147 0.00290564 0.27059774 0.08757676 8.33805426 OGLE-GD-ECL-00043
-0.06540660 0.03670577 -0.03104032 -0.02509035 3.24006942 OGLE-GD-ECL-00044
0.05287320 0.00030126 -0.00283114 -0.00252119 7.95358669 OGLE-GD-ECL-00045
-0.01522490 -0.00833267 0.15655840 0.02977039 6.50735474 OGLE-GD-ECL-00046
0.10918658 -0.05616600 -0.24170010 0.03831290 6.10945148 OGLE-GD-ECL-00047
-0.11392170 0.02262344 -0.10829509 0.00485257 6.35508354 OGLE-GD-ECL-00048
-0.04116442 0.01463041 -0.00904458 -0.02194367 2.93311548 OGLE-GD-ECL-00049
-0.03681127 -0.00202622 -0.01484122 -0.00227980 7.00171940 OGLE-GD-ECL-00050
-0.03229279 -0.00046584 0.00201446 -0.00522508 3.87016905 OGLE-GD-ECL-00051
-0.10675446 0.03158336 -0.08778118 -0.00601038 6.95314420 OGLE-GD-ECL-00052
-0.21327513 -0.01134854 0.06552345 -0.02768361 7.64353220 OGLE-GD-ECL-00053
0.00867855 -0.00155235 0.07267415 0.02262327 3.42162355 OGLE-GD-ECL-00054
0.01958784 -0.00012362 0.22034715 0.04910524 5.55031988 OGLE-GD-ECL-00055
-0.00400241 0.00533279 -0.02666451 0.01635587 2.17589351 OGLE-GD-ECL-00056
0.01478147 -0.00497661 -0.12075691 0.01609235 5.66400653 OGLE-GD-ECL-00057
0.00734369 0.00831860 0.02533614 0.01512780 2.19656381 OGLE-GD-ECL-00058
0.03723751 -0.00466660 -0.01871067 -0.00587109 2.06565192 OGLE-GD-ECL-00059
0.09619118 0.08711803 0.05911358 -0.05275202 0.69452206 OGLE-GD-ECL-00060
-0.04424194 0.00454682 0.00189889 0.00064406 0.47403887 OGLE-GD-ECL-00061
0.07348194 0.00208152 0.02142187 -0.00560796 5.87518809 OGLE-GD-ECL-00062
-0.00402007 -0.00234569 0.17181976 0.03290901 6.59348099 OGLE-GD-ECL-00063
0.16693867 -0.08112418 -0.19631636 0.02070270 6.22968372 OGLE-GD-ECL-00064
-0.00986846 0.00251499 -0.00553239 -0.00088249 0.28938419 OGLE-GD-ECL-00065
-0.01922222 -0.01631780 0.01766112 0.00089631 5.95959181 OGLE-GD-ECL-00066
-0.01232108 0.01797727 -0.04217030 0.01874211 1.92784992 OGLE-GD-ECL-00067
0.04914326 0.02190935 0.01034754 -0.03462914 0.64181280 OGLE-GD-ECL-00068
0.06626214 -0.01369365 -0.09911183 0.01016392 4.98498720 OGLE-GD-ECL-00069
0.18180311 0.00531485 -0.00719558 -0.03063601 6.59554802 OGLE-GD-ECL-00070
0.02955836 -0.01632680 -0.10456023 0.01612703 3.92735688 OGLE-GD-ECL-00001
0.06109880 -0.05590554 -0.03806936 -0.00566723 1.86756155 OGLE-GD-ECL-00002
